,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,68298867.43124354,84220178.49762835,96859327.5728578,50114271.209204555,52823569.96146906,90582091.85452455,50684071.24510383,67970453.56213665,81874719.63663194,22154753.56986305,118376227.04855141,27659073.60461244,81024240.06814378,55706711.070088655,47343675.73880239,38484700.57687402,89515303.50432095,59499721.74837709,49720155.899417676,61028618.30927995,41823263.18864246,24717303.39146445,34618668.18164855,61842570.38157804,80293483.99244069,84087169.1820536,75537930.47009724,58116731.92948796,20946604.338293042,8937705.047363594,46411101.07243529,101604338.80962667,33969344.979427576,50261802.014476486,91860411.27052397,54346227.228589684,96923317.21248043,43053421.879004,22824928.72159276,62130708.32286367,47748900.98011261,9876428.839036014,76389134.05328459,3756997.223196593,67702422.79669856,48002523.48588131,93417346.2587164,16930913.16041485,48949193.748227,81079533.79298851
11,68298867.43124354,84220178.49762835,96859327.5728578,50114271.209204555,52823569.96146906,67429766.28932264,50684071.24510383,67970453.56213665,81874719.63663194,22154753.56986305,118376227.04855141,27659073.60461244,79731513.56717187,55706711.070088655,47343675.73880239,38484700.57687402,54190704.559058204,59499721.74837709,22396266.187742967,61028618.30927995,41823263.18864246,24717303.39146445,34618668.18164855,61842570.38157804,80293483.99244069,84087169.1820536,75537930.47009724,58116731.92948796,20946604.338293042,8937705.047363594,46411101.07243529,101604338.80962667,33969344.979427576,50261802.014476486,91860411.27052397,54346227.228589684,91578627.13069227,43053421.879004,22824928.72159276,62130708.32286367,47748900.98011261,9876428.839036014,76389134.05328459,3756997.223196593,20215092.21428801,48002523.48588131,93417346.2587164,16930913.16041485,48949193.748227,81079533.79298851
12,68298867.43124354,84220178.49762835,92922064.34142536,50114271.209204555,52823569.96146906,67429766.28932264,50684071.24510383,67970453.56213665,62367119.76768509,22154753.56986305,83149310.14344479,27659073.60461244,79731513.56717187,55706711.070088655,47343675.73880239,38484700.57687402,54190704.559058204,59499721.74837709,22396266.187742967,61028618.30927995,41823263.18864246,24717303.39146445,34618668.18164855,61842570.38157804,27519827.9699726,84087169.1820536,75537930.47009724,58116731.92948796,20946604.338293042,8937705.047363594,46411101.07243529,10533678.070057718,33969344.979427576,50261802.014476486,51728521.86940762,54346227.228589684,91578627.13069227,43053421.879004,22824928.72159276,62130708.32286367,47748900.98011261,9876428.839036014,24620037.99579418,3756997.223196593,20215092.21428801,48002523.48588131,93417346.2587164,16930913.16041485,48949193.748227,81079533.79298851
13,68298867.43124354,84220178.49762835,92922064.34142536,50114271.209204555,52823569.96146906,67429766.28932264,50684071.24510383,67970453.56213665,62367119.76768509,22154753.56986305,83149310.14344479,27659073.60461244,79731513.56717187,55706711.070088655,47343675.73880239,38484700.57687402,54190704.559058204,59499721.74837709,22396266.187742967,61028618.30927995,41823263.18864246,24717303.39146445,34618668.18164855,61842570.38157804,27519827.9699726,55205215.11887936,75537930.47009724,58116731.92948796,20946604.338293042,8937705.047363594,12621322.004389526,10533678.070057718,33969344.979427576,26348127.98038731,51728521.86940762,54346227.228589684,91578627.13069227,43053421.879004,22824928.72159276,62130708.32286367,47748900.98011261,9876428.839036014,24620037.99579418,3756997.223196593,20215092.21428801,48002523.48588131,93417346.2587164,16930913.16041485,48949193.748227,81079533.79298851
14,68298867.43124354,16409297.970337106,78425902.62278664,50114271.209204555,7536913.5667020045,67429766.28932264,50684071.24510383,67970453.56213665,62367119.76768509,22154753.56986305,83149310.14344479,27659073.60461244,66086006.0881614,55706711.070088655,47343675.73880239,38484700.57687402,54190704.559058204,59499721.74837709,22396266.187742967,61028618.30927995,41823263.18864246,24717303.39146445,34618668.18164855,61842570.38157804,27519827.9699726,55205215.11887936,54529234.89057121,58116731.92948796,20946604.338293042,8937705.047363594,12621322.004389526,10533678.070057718,33969344.979427576,26348127.98038731,51728521.86940762,54346227.228589684,91578627.13069227,43053421.879004,22824928.72159276,62130708.32286367,47748900.98011261,9876428.839036014,24620037.99579418,3756997.223196593,20215092.21428801,48002523.48588131,93417346.2587164,16930913.16041485,48949193.748227,81079533.79298851
15,68298867.43124354,16409297.970337106,63781931.54893838,50114271.209204555,7536913.5667020045,67429766.28932264,50684071.24510383,67970453.56213665,62367119.76768509,22154753.56986305,83149310.14344479,27659073.60461244,66086006.0881614,55706711.070088655,47343675.73880239,38484700.57687402,54190704.559058204,59499721.74837709,22396266.187742967,61028618.30927995,41823263.18864246,24717303.39146445,34618668.18164855,61842570.38157804,27519827.9699726,55205215.11887936,54529234.89057121,58116731.92948796,20946604.338293042,8937705.047363594,12621322.004389526,10533678.070057718,33969344.979427576,26348127.98038731,51728521.86940762,54346227.228589684,21007344.45199076,21704063.143157165,22824928.72159276,62130708.32286367,47748900.98011261,9876428.839036014,24620037.99579418,3756997.223196593,20215092.21428801,48002523.48588131,83271019.86224352,16930913.16041485,48949193.748227,71052209.4412197
16,68298867.43124354,16409297.970337106,50248731.39735075,50114271.209204555,7536913.5667020045,67429766.28932264,50684071.24510383,67970453.56213665,62367119.76768509,22154753.56986305,83149310.14344479,27659073.60461244,66086006.0881614,55706711.070088655,47343675.73880239,38484700.57687402,54190704.559058204,57369469.98035113,22396266.187742967,56629995.55976518,41823263.18864246,24717303.39146445,34618668.18164855,61842570.38157804,27519827.9699726,55205215.11887936,14537185.654498573,58116731.92948796,20946604.338293042,8937705.047363594,12621322.004389526,10533678.070057718,33969344.979427576,26348127.98038731,51728521.86940762,54346227.228589684,21007344.45199076,21704063.143157165,22824928.72159276,62130708.32286367,47748900.98011261,9876428.839036014,24620037.99579418,3756997.223196593,20215092.21428801,48002523.48588131,83271019.86224352,16930913.16041485,48949193.748227,71052209.4412197
17,68298867.43124354,16409297.970337106,50248731.39735075,50114271.209204555,7536913.5667020045,67429766.28932264,50684071.24510383,67970453.56213665,62259186.55768098,22154753.56986305,83149310.14344479,27659073.60461244,37553709.46558734,55706711.070088655,47343675.73880239,38484700.57687402,54190704.559058204,57369469.98035113,22396266.187742967,56629995.55976518,41823263.18864246,24717303.39146445,34618668.18164855,61842570.38157804,27519827.9699726,55205215.11887936,14537185.654498573,58116731.92948796,20946604.338293042,8937705.047363594,12621322.004389526,10533678.070057718,33969344.979427576,26348127.98038731,51728521.86940762,54346227.228589684,21007344.45199076,21704063.143157165,22824928.72159276,62130708.32286367,47748900.98011261,9876428.839036014,24620037.99579418,3756997.223196593,20215092.21428801,48002523.48588131,79811024.88989002,16930913.16041485,48949193.748227,71052209.4412197
18,68298867.43124354,16409297.970337106,50248731.39735075,50114271.209204555,7536913.5667020045,67429766.28932264,50684071.24510383,67970453.56213665,62259186.55768098,22154753.56986305,83149310.14344479,27659073.60461244,37553709.46558734,55706711.070088655,47343675.73880239,38484700.57687402,54190704.559058204,57369469.98035113,22396266.187742967,56629995.55976518,41823263.18864246,24717303.39146445,34618668.18164855,40965911.69898659,27519827.9699726,55205215.11887936,14537185.654498573,58116731.92948796,20946604.338293042,8937705.047363594,12621322.004389526,10533678.070057718,33969344.979427576,26348127.98038731,51728521.86940762,54346227.228589684,21007344.45199076,21704063.143157165,22824928.72159276,62130708.32286367,47748900.98011261,9876428.839036014,24620037.99579418,3756997.223196593,20215092.21428801,48002523.48588131,79811024.88989002,16930913.16041485,48949193.748227,71052209.4412197
19,68298867.43124354,16409297.970337106,50248731.39735075,50114271.209204555,7536913.5667020045,53139156.703190364,50684071.24510383,67970453.56213665,62259186.55768098,22154753.56986305,83149310.14344479,27659073.60461244,37553709.46558734,55706711.070088655,47343675.73880239,38484700.57687402,54190704.559058204,57369469.98035113,22396266.187742967,56629995.55976518,41823263.18864246,24717303.39146445,34618668.18164855,40965911.69898659,27519827.9699726,55205215.11887936,14537185.654498573,58116731.92948796,20946604.338293042,8937705.047363594,12621322.004389526,10533678.070057718,33969344.979427576,26348127.98038731,51728521.86940762,54346227.228589684,21007344.45199076,21704063.143157165,22824928.72159276,62130708.32286367,47748900.98011261,9876428.839036014,24620037.99579418,3756997.223196593,20215092.21428801,48002523.48588131,79811024.88989002,16930913.16041485,48949193.748227,71052209.4412197
